x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89652.84032521892,43174.89333950335,0,0,0,-0.9914313940419825,0.10784190132738625,35
89651.40001363785,43174.7936091067,0.0,0.0,0.0,-0.9834601309586625,0.1811247382738496,35.0
89649.90149633255,43174.22226310276,0,0,0,-0.9652965789239962,0.2509829331050894,35
89648.40297902725,43173.65091709882,0.0,0.0,0.0,-0.9471330268893299,0.32084112793632924,35.0
89647.25827830791,43172.77485322611,0,0,0,-0.8915422672370616,0.4348222207446457,35
89646.11357758859,43171.8987893534,0.0,0.0,0.0,-0.8359515075847935,0.5488033135529622,35.0
89645.63488456051,43170.79418707911,0,0,0,-0.7391360099242497,0.6576197276986684,35
89645.15619153244,43169.68958480483,0.0,0.0,0.0,-0.6423205122637059,0.7664361418443747,35.0
89645.42675715701,43168.16599546099,0,0,0,-0.5593130534334502,0.8228579748633837,35
89645.69732278158,43166.64240611715,0.0,0.0,0.0,-0.47630559460319444,0.8792798078823927,35.0
89646.46739417457,43165.461624375675,0,0,0,-0.43945316024771564,0.8973277493967655,35
89647.23746556757,43164.280842634194,0.0,0.0,0.0,-0.4026007258922369,0.9153756909111384,35.0
89648.13182778379,43163.3054422671,0,0,0,-0.30742994062666773,0.9462945510392607,35
89649.02619,43162.3300419,0.0,0.0,0.0,-0.21225915536109857,0.9772134111673831,35.0
89650.3924282,43161.7071361,0,0,0,-0.20399835536809066,0.9789348634065385,35
89651.7586664,43161.0842303,0.0,0.0,0.0,-0.19573755537508275,0.9806563156456937,35.0
89653.13206,43160.513227100004,0,0,0,-0.12426124753521924,0.9896311094817964,35
89654.5054536,43159.9422239,0.0,0.0,0.0,-0.05278493969535571,0.9986059033178993,35.0
89655.9875875,43159.78509775,0,0,0,0.0442005916747314,0.9942944866016125,35
89657.4697214,43159.6279716,0.0,0.0,0.0,0.1411861230448185,0.9899830698853256,35.0
89658.91620790001,43160.0491177,0,0,0,0.24610347339709587,0.9631753613651246,35
89660.3626944,43160.4702638,0.0,0.0,0.0,0.35102082374937327,0.9363676528449236,35.0
89661.4021164,43161.37699445,0,0,0,0.4432554495204995,0.8904545864995033,35
89662.4415384,43162.2837251,0.0,0.0,0.0,0.5354900752916257,0.8445415201540828,35.0
89663.09246505,43163.664156,0,0,0,0.5232589247953785,0.8520528600692573,35
89663.7433917,43165.0445869,0.0,0.0,0.0,0.5110277742991312,0.8595641999844318,35.0
89664.32518763465,43166.64127461042,0,0,0,0.467876309914562,0.8824433435258112,35
89664.90698356928,43168.23796232083,0.0,0.0,0.0,0.4247248455299929,0.9053224870671907,35.0
89665.89027776121,43169.75759879925,0,0,0,0.2684676797423615,0.9495034721530071,35
89666.87357195313,43171.277235277674,0.0,0.0,0.0,0.11221051395473007,0.9936844572388236,35.0
89668.81103887451,43172.09153568188,0,0,0,-0.059266556231151776,0.9833495201546766,35
89670.71735833971,43171.90296794526,0.0,0.0,0.0,-0.2307436264170336,0.9730145830705296,35.0
89672.67788414225,43171.06795899336,0,0,0,-0.2768748279896493,0.9597057448469861,35
89674.11419282088,43170.115160323585,0.0,0.0,0.0,-0.323006029562265,0.9463969066234427,35.0
89674.96340144117,43169.13186613166,0,0,0,-0.3737410969896202,0.9259180093952455,35
89675.81261006148,43168.148571939746,0.0,0.0,0.0,-0.42447616441697544,0.9054391121670484,35.0
89676.62052298074,43166.74005076988,0,0,0,-0.46679011909338747,0.8830720401216074,35
89677.4284359,43165.3315296,0.0,0.0,0.0,-0.5091040737697995,0.8607049680761664,35.0
89678.1482778,43164.02169035,0,0,0,-0.5552193501009568,0.8298511282954041,35
89678.8681197,43162.7118511,0.0,0.0,0.0,-0.6013346264321142,0.7989972885146418,35.0
